permutation,permutation_count,permutation_size
thy dwelling place and do according to all that the stranger calleth to thee for that all people of the earth may know thy name,2,25
were of gold and all the vessels of the house of the forest of lebanon were of pure gold none were of silver it was,2,25
and he took up his parable and said balaam the son of beor hath said and the man whose eyes are open hath said,2,24
and it came to pass in the ninth year of his reign in the tenth month in the tenth day of the month that,2,24
dwellest between the cherubims thou art the god even thou alone of all the kingdoms of the earth thou hast made heaven and earth,2,24
he went down to him with a staff and plucked the spear out of the egyptians hand and slew him with his own spear,2,24
the second year that which springeth of the same and in the third year sow ye and reap and plant vineyards and eat the,2,24
to the house of the god of jacob and he will teach us of his ways and we will walk in his paths for,2,24
unto them all ye shall be offended because of me this night for it is written i will smite the shepherd and the sheep,2,24
which eleazar the priest and joshua the son of nun and the heads of the fathers of the tribes of the children of israel,2,24
an offering made by fire unto the lord the fat that covereth the inwards and all the fat that is upon the inwards,2,23
and i will deliver thee and this city out of the hand of the king of assyria and i will defend this city,2,23
and it came to pass in the seven and thirtieth year of the captivity of jehoiachin king of judah in the twelfth month,2,23
and the captain of the guard took seraiah the chief priest and zephaniah the second priest and the three keepers of the door,2,23
behold thou hast heard what the kings of assyria have done to all lands by destroying them utterly and shalt thou be delivered,2,23
hath my master sent me to thy master and to thee to speak these words hath he not sent me to the men,2,23
his knowledge every founder is confounded by the graven image for his molten image is falsehood and there is no breath in them,2,23
now the philistines fought against israel and the men of israel fled from before the philistines and fell down slain in mount gilboa,2,23
of the tribe of issachar and out of the tribe of asher and out of the tribe of naphtali and out of the,2,23
that calleth for the waters of the sea and poureth them out upon the face of the earth the lord is his name,2,23
the names of the children of israel twelve according to their names like the engravings of a signet every one with his name,2,23
them that sold and bought in the temple and overthrew the tables of the moneychangers and the seats of them that sold doves,2,23
this is he of whom it is written behold i send my messenger before thy face which shall prepare thy way before thee,2,23
thus saith the lord the god of david thy father i have heard thy prayer i have seen thy tears behold i will,2,23
to elisha and said unto him knowest thou that the lord will take away thy master from thy head to day and he,2,23
under the twenty boards two sockets under one board for his two tenons and two sockets under another board for his two tenons,2,23
all the fat that was upon the inwards and the caul above the liver and the two kidneys and their fat and,2,22
and a certain man drew a bow at a venture and smote the king of israel between the joints of the harness,2,22
and it came to pass on the morrow when the philistines came to strip the slain that they found saul and his,2,22
and it shall come to pass that in the place where it was said unto them ye are not my people there,2,22
and one kid of the goats for a sin offering beside the continual burnt offering his meat offering and his drink offering,2,22
and the sons of simeon jemuel and jamin and ohad and jachin and zohar and shaul the son of a canaanitish woman,2,22
but the days will come when the bridegroom shall be taken away from them and then shall they fast in those days,2,22
by the way that he came by the same shall he return and shall not come into this city saith the lord,2,22
eliakim the son of hilkiah which was over the household and shebna the scribe and joah the son of asaph the recorder,2,22
it came to pass in the seventh month that ishmael the son of nethaniah the son of elishama of the seed royal,2,22
it was in the heart of david my father to build an house for the name of the lord god of israel,2,22
out of the tribe of reuben and out of the tribe of gad and out of the tribe of zebulun twelve cities,2,22
satan answered the lord and said from going to and fro in the earth and from walking up and down in it,2,22
so rabshakeh returned and found the king of assyria warring against libnah for he had heard that he was departed from lachish,2,22
the son of man came not to be ministered unto but to minister and to give his life a ransom for many,2,22
there is none like thee neither is there any god beside thee according to all that we have heard with our ears,2,22
there was a day when the sons of god came to present themselves before the lord and satan came also among them,2,22
thou and thy son and thy daughter and thy manservant and thy maidservant and the levite that is within thy gates and,2,22
a prophet shall the lord your god raise up unto you of your brethren like unto me him shall ye hear,2,21
and all the prophets prophesied so saying go up to ramothgilead and prosper for the lord shall deliver it into the,2,21
and five bars for the boards of the other side of the tabernacle and five bars for the boards of the,2,21
and he did that which was evil in the sight of the lord according to all that his fathers had done,2,21
and he shall offer of the sacrifice of the peace offering an offering made by fire unto the lord the fat,2,21
and precious stones and when she was come to solomon she communed with him of all that was in her heart,2,21
and say thus saith the lord god behold i am against thee o gog the chief prince of meshech and tubal,2,21
and solomon had horses brought out of egypt and linen yarn the kings merchants received the linen yarn at a price,2,21
and the meat of his table and the sitting of his servants and the attendance of his ministers and their apparel,2,21
at the bottom of the altar of the burnt offering which is at the door of the tabernacle of the congregation,2,21
behold the days come that all that is in thine house and that which thy fathers have laid up in store,2,21
go and he goeth and to another come and he cometh and to my servant do this and he doeth it,2,21
he hath made the earth by his power he hath established the world by his wisdom and hath stretched out the,2,21
him and said unto him thus saith the lord set thine house in order for thou shalt die and not live,2,21
slept with his fathers and they buried him in the city of david and asa his son reigned in his stead,2,21
stood before the altar of the lord in the presence of all the congregation of israel and spread forth his hands,2,21
the bank of the river arnon and the city that is in the midst of the river and all the plain,2,21
the covenant that i will make with the house of israel after those days saith the lord i will put my,2,21
the one for a sin offering and the other for a burnt offering and the priest shall make an atonement for,2,21
there went up a smoke out of his nostrils and fire out of his mouth devoured coals were kindled by it,2,21
thou shalt love the lord thy god with all thy heart and with all thy soul and with all thy mind,2,21
though these three men were in it as i live saith the lord god they shall deliver neither sons nor daughters,2,21
thus saith the lord behold i will give this city into the hand of the king of babylon and he shall,2,21
thus saith the lord i offer thee three things choose thee one of them that i may do it unto thee,2,21
will cut off from ahab him that pisseth against the wall and him that is shut up and left in israel,2,21
and all that he did are they not written in the book of the chronicles of the kings of judah,8,20
oh that men would praise the lord for his goodness and for his wonderful works to the children of men,4,20
and all that he did are they not written in the book of the chronicles of the kings of israel,3,20
and one goat for a sin offering beside the continual burnt offering and his meat offering and his drink offering,3,20
the voice of mirth and the voice of gladness the voice of the bridegroom and the voice of the bride,3,20
and all that he did behold they are written in the book of the chronicles of the kings of israel,2,20
and caleb said he that smiteth kirjathsepher and taketh it to him will i give achsah my daughter to wife,2,20
and david longed and said oh that one would give me drink of the water of the well of bethlehem,2,20
and he built altars for all the host of heaven in the two courts of the house of the lord,2,20
and he did evil in the sight of the lord and walked in the way of his father and in,2,20
and he did that which was right in the sight of the lord according to all that david his father,2,20
and he did that which was right in the sight of the lord according to all that his father amaziah,2,20
and in their hands they shall bear thee up lest at any time thou dash thy foot against a stone,2,20
and jehoshaphat said unto the king of israel enquire i pray thee at the word of the lord to day,2,20
and the rain descended and the floods came and the winds blew and beat upon that house and it fell,2,20
as for god his way is perfect the word of the lord is tried he is a buckler to all,2,20
ask and it shall be given you seek and ye shall find knock and it shall be opened unto you,2,20
because of mens blood and for the violence of the land of the city and of all that dwell therein,2,20
for every one that asketh receiveth and he that seeketh findeth and to him that knocketh it shall be opened,2,20
for fear of the lord and for the glory of his majesty when he ariseth to shake terribly the earth,2,20
god hath spoken in his holiness i will rejoice i will divide shechem and mete out the valley of succoth,2,20
hath not eaten upon the mountains neither hath lifted up his eyes to the idols of the house of israel,2,20
he did and his might are they not written in the book of the chronicles of the kings of israel,2,20
in the land of the living yet have they borne their shame with them that go down to the pit,2,20
jehoiakim was twenty and five years old when he began to reign and he reigned eleven years in jerusalem and,2,20
mustered the people of the land and threescore men of the people of the land that were found in the,2,20
out of all the tribes of israel to put his name there and his mothers name was naamah an ammonitess,2,20
saying the voice of one crying in the wilderness prepare ye the way of the lord make his paths straight,2,20
setteth up his idols in his heart and putteth the stumblingblock of his iniquity before his face and cometh to,2,20
the men were greatly ashamed and the king said tarry at jericho until your beards be grown and then return,2,20
the middle of the court that was before the house of the lord for there he offered burnt offerings and,2,20
the son of hilkiah the son of meshullam the son of zadok the son of meraioth the son of ahitub,2,20
those that were numbered of them according to the number of all the males from a month old and upward,2,20
thus saith the lord behold i will bring evil upon this place and upon the inhabitants thereof even all the,2,20
were they ashamed when they had committed abomination nay they were not at all ashamed neither could they blush therefore,2,20
when athaliah the mother of ahaziah saw that her son was dead she arose and destroyed all the seed royal,2,20
ye now to hezekiah thus saith the great king the king of assyria what confidence is this wherein thou trustest,2,20
a little while and ye shall not see me and again a little while and ye shall see me,3,19
amaziah king of judah are they not written in the book of the chronicles of the kings of israel,2,19
and azel had six sons whose names are these azrikam bocheru and ishmael and sheariah and obadiah and hanan,2,19
and one goat for a sin offering beside the continual burnt offering his meat offering and his drink offering,2,19
and the priest shall offer the one for a sin offering and the other for a burnt offering and,2,19
and the two kidneys and the fat that is on them which is by the flanks and the caul,2,19
and they said unto him thus saith hezekiah this day is a day of trouble and of rebuke and,2,19
bring up the ark of the covenant of the lord out of the city of david which is zion,2,19
for i will defend this city to save it for mine own sake and for my servant davids sake,2,19
give me a blessing for thou hast given me a south land give me also springs of water and,2,19
if a man lean it will go into his hand and pierce it so is pharaoh king of egypt,2,19
if ye then being evil know how to give good gifts unto your children how much more shall your,2,19
in the fruit of thy body and in the fruit of thy cattle and in the fruit of thy,2,19
jehoahaz was twenty and three years old when he began to reign and he reigned three months in jerusalem,2,19
like the house of jeroboam the son of nebat and like the house of baasha the son of ahijah,2,19
of gold went to one shield and the king put them in the house of the forest of lebanon,2,19
out of the tribe of the children of judah and out of the tribe of the children of simeon,2,19
return to his own land and i will cause him to fall by the sword in his own land,2,19
see the son of man sitting on the right hand of power and coming in the clouds of heaven,2,19
shall no more be called tophet nor the valley of the son of hinnom but the valley of slaughter,2,19
shalt thou say unto my servant david thus saith the lord of hosts i took thee from the sheepcote,2,19
shaphan the scribe i have found the book of the law in the house of the lord and hilkiah,2,19
smote midian in the field of moab reigned in his stead and the name of his city was avith,2,19
take his garment that is surety for a stranger and take a pledge of him for a strange woman,2,19
that hath the issue shall wash his clothes and bathe himself in water and be unclean until the even,2,19
the copy of the writing for a commandment to be given in every province was published unto all people,2,19
the holy garments for aaron the priest and the garments of his sons to minister in the priests office,2,19
the lord rewarded me according to my righteousness according to the cleanness of my hands hath he recompensed me,2,19
the prayer of thy servant and to his supplication o lord my god to hearken unto the cry and,2,19
the wheels were lifted up over against them for the spirit of the living creature was in the wheels,2,19
the words of a talebearer are as wounds and they go down into the innermost parts of the belly,2,19
then he shall add the fifth part of the money of thy estimation unto it and it shall be,2,19
thou know that the most high ruleth in the kingdom of men and giveth it to whomsoever he will,2,19
thou knowest the commandments do not commit adultery do not kill do not steal do not bear false witness,2,19
two cubits and a half shall be the length thereof and a cubit and a half the breadth thereof,2,19
unto thine handmaid saying assuredly solomon thy son shall reign after me and he shall sit upon my throne,2,19
wherewith he may die and he die he is a murderer the murderer shall surely be put to death,2,19
years old when he began to reign and he reigned seventeen years in jerusalem the city which the lord,2,19
zadok the priest and nathan the prophet and benaiah the son of jehoiada and the cherethites and the pelethites,2,19
slept with his fathers and was buried with his fathers in the city of david his father and,3,18
a field and jerusalem shall become heaps and the mountain of the house as the high places of,2,18
a ram without blemish out of the flock with thy estimation for a trespass offering unto the priest,2,18
achan the son of carmi the son of zabdi the son of zerah of the tribe of judah,2,18
all her multitude her graves are round about him all of them uncircumcised slain by the sword though,2,18
and forgive the sin of thy people israel and bring them again unto the land which thou gavest,2,18
and in the arches thereof round about it was fifty cubits long and five and twenty cubits broad,2,18
and it shall come to pass that whosoever shall call on the name of the lord shall be,2,18
and ner begat kish and kish begat saul and saul begat jonathan and malchishua and abinadab and eshbaal,2,18
and the king went up into the house of the lord and all the men of judah and,2,18
and they shall beat their swords into plowshares and their spears into pruninghooks nation shall not lift up,2,18
and they shall fight against thee but they shall not prevail against thee for i am with thee,2,18
at horeb when the lord made a covenant with the children of israel when they came out of,2,18
birds of the air have nests but the son of man hath not where to lay his head,2,18
but i know thy abode and thy going out and thy coming in and thy rage against me,2,18
for these things saith the lord shall not my soul be avenged on such a nation as this,2,18
fourscore and five thousand and when they arose early in the morning behold they were all dead corpses,2,18
he saith unto him yea lord thou knowest that i love thee he saith unto him feed my,2,18
held their peace and answered him not a word for the kings commandment was saying answer him not,2,18
him thus saith the lord god of the hebrews let my people go that they may serve me,2,18
in god for i shall yet praise him who is the health of my countenance and my god,2,18
in mine house have they seen there is nothing among my treasures that i have not shewed them,2,18
in the beginning of the reign of jehoiakim the son of josiah king of judah came this word,2,18
in the feast of unleavened bread and in the feast of weeks and in the feast of tabernacles,2,18
instead of all the firstborn among the children of israel and the cattle of the levites instead of,2,18
jehoshaphat said is there not here a prophet of the lord besides that we might enquire of him,2,18
joshua the son of nun the servant of the lord died being an hundred and ten years old,2,18
little children to come unto me and forbid them not for of such is the kingdom of god,2,18
looked down from heaven upon the children of men to see if there were any that did understand,2,18
month in the first day of the month that the word of the lord came unto me saying,2,18
of the canaanites and the hittites and the amorites and the perizzites and the hivites and the jebusites,2,18
parts of the earth to hear the wisdom of solomon and behold a greater than solomon is here,2,18
said to david and to solomon his son in this house and in jerusalem which i have chosen,2,18
satan for it is written thou shalt worship the lord thy god and him only shalt thou serve,2,18
saw the angel of the lord standing in the way and his sword drawn in his hand and,2,18
slain the servants with the edge of the sword and i only am escaped alone to tell thee,2,18
the cheek and said which way went the spirit of the lord from me to speak unto thee,2,18
the length thereof and a cubit the breadth thereof and a cubit and a half the height thereof,2,18
the lord for he hath triumphed gloriously the horse and his rider hath he thrown into the sea,2,18
the lord thy god which brought thee out of the land of egypt from the house of bondage,2,18
them in halah and in habor by the river of gozan and in the cities of the medes,2,18
thing be and he said behold thou shalt see it with thine eyes but shalt not eat thereof,2,18
thou hast also given me the necks of mine enemies that i might destroy them that hate me,2,18
thou shalt not come down from that bed on which thou art gone up but shalt surely die,2,18
thou wilt not leave my soul in hell neither wilt thou suffer thine holy one to see corruption,2,18
thus saith the king let not hezekiah deceive you for he shall not be able to deliver you,2,18
took away the treasures of the house of the lord and the treasures of the kings house he,2,18
unto the children of reuben and to the children of gad and to the half tribe of manasseh,2,18
upon precept precept upon precept line upon line line upon line here a little and there a little,2,18
when the unclean spirit is gone out of a man he walketh through dry places seeking rest and,2,18
which he did are they not written in the book of the chronicles of the kings of judah,2,18
wings over the place of the ark and the cherubims covered the ark and the staves thereof above,2,18
ye shall offer a burnt offering a sacrifice made by fire of a sweet savour unto the lord,2,18
zerubbabel the son of shealtiel governor of judah and to joshua the son of josedech the high priest,2,18
a prudent man foreseeth the evil and hideth himself but the simple pass on and are punished,2,17
according to all these words and according to all this vision so did nathan speak unto david,2,17
against any of the commandments of the lord concerning things which ought not to be done and,2,17
and he said as the lord liveth and as thy soul liveth i will not leave thee,2,17
and say unto him thus saith the lord let my people go that they may serve me,2,17
and the children of israel did according to all that the lord commanded moses so did they,2,17
and the children of israel did evil again in the sight of the lord and the lord,2,17
and the pillars of the court round about and their sockets and their pins and their cords,2,17
and the snuffers and the basons and the spoons and the censers of pure gold and the,2,17
and the voice of gladness the voice of the bridegroom and the voice of the bride the,2,17
and their forty sockets of silver two sockets under one board and two sockets under another board,2,17
and they reasoned with themselves saying if we shall say from heaven he will say why then,2,17
and when david heard of it he sent joab and all the host of the mighty men,2,17
are the hands of zebah and zalmunna now in thine hand that we should give bread unto,2,17
blasphemy for the children are come to the birth and there is not strength to bring forth,2,17
but that ye may know that the son of man hath power on earth to forgive sins,2,17
called by name bezaleel the son of uri the son of hur of the tribe of judah,2,17
day and smote it with the edge of the sword and all the souls that were therein,2,17
dwell in the land and serve the king of babylon and it shall be well with you,2,17
eat and were filled and they took up of the broken meat that was left seven baskets,2,17
either in the warp or in the woof or in any thing of skin it is a,2,17
for i have kept the ways of the lord and have not wickedly departed from my god,2,17
forty years seven years reigned he in hebron and thirty and three years reigned he in jerusalem,2,17
have dominion over the fish of the sea and over the fowl of the air and over,2,17
he brought me forth also into a large place he delivered me because he delighted in me,2,17
he teacheth my hands to war so that a bow of steel is broken by mine arms,2,17
he that is not with me is against me and he that gathereth not with me scattereth,2,17
hear the sound of the cornet flute harp sackbut psaltery and dulcimer and all kinds of musick,2,17
him and set his throne above the throne of the kings that were with him in babylon,2,17
i will make a new covenant with the house of israel and with the house of judah,2,17
if balak would give me his house full of silver and gold i cannot go beyond the,2,17
if they pray toward this place and confess thy name and turn from their sin when thou,2,17
in the garment either in the warp or in the woof or in any thing of skin,2,17
in the land of benjamin and in the places about jerusalem and in the cities of judah,2,17
in the plain of jordan did the king cast them in the clay ground between succoth and,2,17
into the hand of their enemies and into the hand of them that seek their life and,2,17
is not mine to give but it shall be given to them for whom it is prepared,2,17
it is a burnt sacrifice an offering made by fire of a sweet savour unto the lord,2,17
leaven which a woman took and hid in three measures of meal till the whole was leavened,2,17
of the priests the children of habaiah the children of koz the children of barzillai which took,2,17
said unto him why callest thou me good there is none good but one that is god,2,17
speak unto the children of israel and say unto them when ye be come into the land,2,17
ten curtains of fine twined linen and blue and purple and scarlet with cherubims of cunning work,2,17
that was found in the house of the lord and in the treasures of the kings house,2,17
the children of israel saying god will surely visit you and ye shall carry up my bones,2,17
the children of shephatiah the children of hattil the children of pochereth of zebaim the children of,2,17
the house of the lord thy god thou shalt not seethe a kid in his mothers milk,2,17
the hurt of the daughter of my people slightly saying peace peace when there is no peace,2,17
the reins and the heart let me see thy vengeance on them for unto thee have i,2,17
the sins of jeroboam the son of nebat which made israel to sin he departed not therefrom,2,17
the sons of japheth gomer and magog and madai and javan and tubal and meshech and tiras,2,17
the spirit of jealousy come upon him and he be jealous of his wife and she be,2,17
then said i lo i come in the volume of the book it is written of me,2,17
they shall drive thee from men and thy dwelling shall be with the beasts of the field,2,17
thy father which is in secret and thy father which seeth in secret shall reward thee openly,2,17
unto all people nations and languages that dwell in all the earth peace be multiplied unto you,2,17
upon him and he shall be taken in my snare and i will bring him to babylon,2,17
us thus shalt thou say unto them my little finger shall be thicker than my fathers loins,2,17
verily i say unto you whosoever shall not receive the kingdom of god as a little child,2,17
vine and every one of his fig tree and drink ye every one the waters of his,2,17
was buried in the city of david his father and rehoboam his son reigned in his stead,2,17
was over the household and shebna the scribe and the elders of the priests covered with sackcloth,2,17
ye shall seek me and shall not find me and where i am thither ye cannot come,2,17
you in the mount out of the midst of the fire in the day of the assembly,2,17
zelophehad the son of hepher the son of gilead the son of machir the son of manasseh,2,17
for all this his anger is not turned away but his hand is stretched out still,5,16
o give thanks unto the lord for he is good for his mercy endureth for ever,5,16
slept with his fathers and was buried with his fathers in the city of david and,4,16
johanan the son of kareah and all the captains of the forces that were with him,3,16
and built a tower and let it out to husbandmen and went into a far country,2,16
and burnt incense in the high places and on the hills and under every green tree,2,16
and david built there an altar unto the lord and offered burnt offerings and peace offerings,2,16
and entered into the swine and the herd ran violently down a steep place into the,2,16
and he did that which was right in the sight of the lord and walked in,2,16
and i will scatter the egyptians among the nations and will disperse them through the countries,2,16
and it be hid from him when he knoweth of it then he shall be guilty,2,16
and it came to pass when the captains of the chariots saw jehoshaphat that they said,2,16
and it shall be when the lord shall bring thee into the land of the canaanites,2,16
and joab the son of zeruiah was over the host and jehoshaphat the son of ahilud,2,16
and the lord said unto moses rise up early in the morning and stand before pharaoh,2,16
and the lord spake unto moses in the plains of moab by jordan near jericho saying,2,16
and the owl and the night hawk and the cuckow and the hawk after his kind,2,16
and the priest shall make an atonement for him with the ram of the trespass offering,2,16
and the priests brought in the ark of the covenant of the lord unto his place,2,16
and the tabernacle of the congregation and all the holy vessels that were in the tabernacle,2,16
and the waters were a wall unto them on their right hand and on their left,2,16
arose and went to eli and said here am i for thou didst call me and,2,16
as the lord liveth and as thy soul liveth i will not leave thee so they,2,16
be thou exalted o god above the heavens let thy glory be above all the earth,2,16
bed shall wash his clothes and bathe himself in water and be unclean until the even,2,16
brought you out of the land of egypt to be your god i am the lord,2,16
build ye houses and dwell in them and plant gardens and eat the fruit of them,2,16
but i wrought for my names sake that it should not be polluted before the heathen,2,16
but what went ye out for to see a man clothed in soft raiment behold they,2,16
but what went ye out for to see a prophet yea i say unto you and,2,16
captains the judges the treasurers the counsellors the sheriffs and all the rulers of the provinces,2,16
chariots and horsemen and he had a thousand and four hundred chariots and twelve thousand horsemen,2,16
cherub was five cubits reaching to the wall of the house and the other wing was,2,16
delivered you out of the hand of the egyptians and out of the hand of all,2,16
for six hundred shekels of silver and an horse for an hundred and fifty and so,2,16
found in the house of the lord and in the treasures of the kings house and,2,16
fourfooted beasts of the earth and wild beasts and creeping things and fowls of the air,2,16
